_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2df0f0a5bc6c426c0d12,Spoorloos,1988,107 min,"Mystery, Thriller",7.7,4.356334989812678,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",,George Sluizer,"['Bernard-Pierre Donnadieu', 'Gene Bervoets', 'Johanna ter Steege', 'Gwen Eckhaus']",33982,2022-04-17 15:10:40.655,2022-04-17 15:10:40.655
625c2bb1f0a5bc6c426c0722,Memento,2000,113 min,"Mystery, Thriller",8.4,0.14164255254410785,A man with short-term memory loss attempts to track down his wife's murderer.,80.0,Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']",1125712,2022-04-17 15:01:05.860,2022-04-17 15:01:05.860
625c2c30f0a5bc6c426c0850,Kahaani,2012,122 min,"Mystery, Thriller",8.1,1.393437173359302,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",,Sujoy Ghosh,"['Vidya Balan', 'Parambrata Chattopadhyay', 'Indraneil Sengupta', 'Nawazuddin Siddiqui']",57806,2022-04-17 15:03:12.089,2022-04-17 15:03:12.089
625c2bbbf0a5bc6c426c073a,Rear Window,1954,112 min,"Mystery, Thriller",8.4,4.339334821863256,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,100.0,Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']",444074,2022-04-17 15:01:15.688,2022-04-17 15:01:15.688
625c2e14f0a5bc6c426c0d9e,El cuerpo,2012,112 min,"Mystery, Thriller",7.6,1.0798158723484574,A detective searches for the body of a femme fatale which has gone missing from a morgue.,,Oriol Paulo,"['Jose Coronado', 'Hugo Silva', 'Belén Rueda', 'Aura Garrido']",57549,2022-04-17 15:11:16.159,2022-04-17 15:11:16.159
625c2beff0a5bc6c426c07ba,Shutter Island,2010,138 min,"Mystery, Thriller",8.2,3.8719875706026787,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",63.0,Martin Scorsese,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo', 'Ben Kingsley']",1129894,2022-04-17 15:02:07.507,2022-04-17 15:02:07.507
625c2bd2f0a5bc6c426c0786,Vertigo,1958,128 min,"Mystery, Romance, Thriller",8.3,1.3052767496449813,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman.,100.0,Alfred Hitchcock,"['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']",364368,2022-04-17 15:01:38.464,2022-04-17 15:01:38.464
625c2e2ff0a5bc6c426c0e16,Dark City,1998,100 min,"Mystery, Sci-Fi, Thriller",7.6,1.5999137168804722,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",66.0,Alex Proyas,"['Rufus Sewell', 'Kiefer Sutherland', 'Jennifer Connelly', 'William Hurt']",187927,2022-04-17 15:11:43.114,2022-04-17 15:11:43.114
625c2e2ff0a5bc6c426c0e1a,Lost Highway,1997,134 min,"Mystery, Thriller",7.6,4.769542722312776,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",52.0,David Lynch,"['Bill Pullman', 'Patricia Arquette', 'John Roselius', 'Louis Eppolito']",131101,2022-04-17 15:11:43.530,2022-04-17 15:11:43.530
625c2cd0f0a5bc6c426c09aa,Twelve Monkeys,1995,129 min,"Mystery, Sci-Fi, Thriller",8.0,3.4040948318837594,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",74.0,Terry Gilliam,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Joseph Melito']",578443,2022-04-17 15:05:52.605,2022-04-17 15:05:52.605
