_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2d29f0a5bc6c426c0a94,Cowboy Bebop: Tengoku no tobira,2001,115 min,"Animation, Action, Crime",7.9,3.353932440604842,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",61.0,Shin'ichirô Watanabe,"['Tensai Okamura', 'Hiroyuki Okiura', 'Yoshiyuki Takei', 'Beau Billingslea']",42897,2022-04-17 15:07:21.767,2022-04-17 15:07:21.767
625c2d93f0a5bc6c426c0bca,Batman: Mask of the Phantasm,1993,76 min,"Animation, Action, Crime",7.8,0.16720325517934786,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,,Kevin Altieri,"['Boyd Kirkland', 'Frank Paur', 'Dan Riba', 'Eric Radomski']",43690,2022-04-17 15:09:07.548,2022-04-17 15:09:07.548
625c2d34f0a5bc6c426c0aac,Jûbê ninpûchô,1993,94 min,"Animation, Action, Adventure",7.9,1.9686669820001845,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,,Yoshiaki Kawajiri,"['Kôichi Yamadera', 'Emi Shinohara', 'Takeshi Aono', 'Osamu Saka']",34529,2022-04-17 15:07:32.226,2022-04-17 15:07:32.226
625c2d58f0a5bc6c426c0b2c,Loving Vincent,2017,94 min,"Animation, Biography, Crime",7.8,2.207749730602978,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",62.0,Dorota Kobiela,"['Hugh Welchman', 'Douglas Booth', 'Jerome Flynn', 'Robert Gulaczyk']",50778,2022-04-17 15:08:08.166,2022-04-17 15:08:08.166
625c2c48f0a5bc6c426c0884,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87 min,"Animation, Action, Drama",8.1,3.4756313086775337,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,,Hideaki Anno,"['Kazuya Tsurumaki', 'Megumi Ogata', 'Megumi Hayashibara', 'Yûko Miyamura']",38847,2022-04-17 15:03:36.561,2022-04-17 15:03:36.561
625c2d5cf0a5bc6c426c0b38,Big Hero 6,2014,102 min,"Animation, Action, Adventure",7.8,3.996914129301131,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",74.0,Don Hall,"['Chris Williams', 'Ryan Potter', 'Scott Adsit', 'Jamie Chung']",410983,2022-04-17 15:08:12.970,2022-04-17 15:08:12.970
625c2dcbf0a5bc6c426c0c68,The Lego Movie,2014,100 min,"Animation, Action, Adventure",7.7,2.984869968454864,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",83.0,Christopher Miller,"['Phil Lord', 'Chris Pratt', 'Will Ferrell', 'Elizabeth Banks']",323982,2022-04-17 15:10:03.059,2022-04-17 15:10:03.059
625c2cd5f0a5bc6c426c09c2,Akira,1988,124 min,"Animation, Action, Sci-Fi",8.0,0.12689751269910343,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,,Katsuhiro Ôtomo,"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama', 'Tesshô Genda']",164918,2022-04-17 15:05:57.337,2022-04-17 15:05:57.337
625c2d54f0a5bc6c426c0b1c,Kubo and the Two Strings,2016,101 min,"Animation, Action, Adventure",7.8,2.8165950301119547,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,84.0,Travis Knight,"['Charlize Theron', 'Art Parkinson', 'Matthew McConaughey', 'Ralph Fiennes']",118035,2022-04-17 15:08:04.368,2022-04-17 15:08:04.368
625c2d5ff0a5bc6c426c0b46,How to Train Your Dragon 2,2014,102 min,"Animation, Action, Adventure",7.8,1.2286963626279046,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",76.0,Dean DeBlois,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson']",305611,2022-04-17 15:08:15.208,2022-04-17 15:08:15.208
625c2ccff0a5bc6c426c09a2,The Iron Giant,1999,86 min,"Animation, Action, Adventure",8.0,0.5205153277576857,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,85.0,Brad Bird,"['Eli Marienthal', 'Harry Connick Jr.', 'Jennifer Aniston', 'Vin Diesel']",172083,2022-04-17 15:05:51.768,2022-04-17 15:05:51.768
625c2b7bf0a5bc6c426c070c,Spider-Man: Into the Spider-Verse,2018,117 min,"Animation, Action, Adventure",8.4,0.25935195402954636,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",87.0,Bob Persichetti,"['Peter Ramsey', 'Rodney Rothman', 'Shameik Moore', 'Jake Johnson']",375110,2022-04-17 15:00:11.572,2022-04-17 15:00:11.572
625c2c3cf0a5bc6c426c0864,How to Train Your Dragon,2010,98 min,"Animation, Action, Adventure",8.1,3.4108694125585237,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",75.0,Dean DeBlois,"['Chris Sanders', 'Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse']",666773,2022-04-17 15:03:24.681,2022-04-17 15:03:24.681
625c2bb2f0a5bc6c426c0724,Mononoke-hime,1997,134 min,"Animation, Action, Adventure",8.4,3.151744942173548,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",76.0,Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']",343171,2022-04-17 15:01:06.072,2022-04-17 15:01:06.072
625c2d60f0a5bc6c426c0b50,Captain Phillips,2013,134 min,"Adventure, Biography, Crime",7.8,3.4604700277048384,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",82.0,Paul Greengrass,"['Tom Hanks', 'Barkhad Abdi', 'Barkhad Abdirahman', 'Catherine Keener']",421244,2022-04-17 15:08:16.843,2022-04-17 15:08:16.843
625c2ddff0a5bc6c426c0cd0,Vampire Hunter D: Bloodlust,2000,103 min,"Animation, Action, Fantasy",7.7,4.309608045179044,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",62.0,Yoshiaki Kawajiri,"['Andrew Philpot', 'John Rafter Lee', 'Pamela Adlon', 'Wendee Lee']",29210,2022-04-17 15:10:23.630,2022-04-17 15:10:23.630
625c2be9f0a5bc6c426c07b4,Paan Singh Tomar,2012,135 min,"Action, Biography, Crime",8.2,2.035103983603772,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",,Tigmanshu Dhulia,"['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay', 'Hemendra Dandotiya']",33237,2022-04-17 15:02:01.339,2022-04-17 15:02:01.339
625c2bc6f0a5bc6c426c0762,Toy Story,1995,81 min,"Animation, Adventure, Comedy",8.3,1.9030532068869488,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,95.0,John Lasseter,"['Tom Hanks', 'Tim Allen', 'Don Rickles', 'Jim Varney']",887429,2022-04-17 15:01:26.466,2022-04-17 15:01:26.466
625c2ccff0a5bc6c426c099c,Pâfekuto burû,1997,81 min,"Animation, Crime, Mystery",8.0,0.04049889542113383,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",,Satoshi Kon,"['Junko Iwao', 'Rica Matsumoto', 'Shinpachi Tsuji', 'Masaaki Ôkura']",58192,2022-04-17 15:05:51.028,2022-04-17 15:05:51.028
625c2c74f0a5bc6c426c0900,White Heat,1949,114 min,"Action, Crime, Drama",8.1,0.7181003180845069,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,,Raoul Walsh,"['James Cagney', 'Virginia Mayo', ""Edmond O'Brien"", 'Margaret Wycherly']",29807,2022-04-17 15:04:20.429,2022-04-17 15:04:20.429
