_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2e2ff0a5bc6c426c0e16,Dark City,1998,100 min,"Mystery, Sci-Fi, Thriller",7.6,1.5999137168804722,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",66.0,Alex Proyas,"['Rufus Sewell', 'Kiefer Sutherland', 'Jennifer Connelly', 'William Hurt']",187927,2022-04-17 15:11:43.114,2022-04-17 15:11:43.114
625c2e14f0a5bc6c426c0d9e,El cuerpo,2012,112 min,"Mystery, Thriller",7.6,1.0798158723484574,A detective searches for the body of a femme fatale which has gone missing from a morgue.,,Oriol Paulo,"['Jose Coronado', 'Hugo Silva', 'Belén Rueda', 'Aura Garrido']",57549,2022-04-17 15:11:16.159,2022-04-17 15:11:16.159
625c2bbbf0a5bc6c426c073a,Rear Window,1954,112 min,"Mystery, Thriller",8.4,4.339334821863256,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,100.0,Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']",444074,2022-04-17 15:01:15.688,2022-04-17 15:01:15.688
625c2beff0a5bc6c426c07ba,Shutter Island,2010,138 min,"Mystery, Thriller",8.2,3.8719875706026787,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",63.0,Martin Scorsese,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo', 'Ben Kingsley']",1129894,2022-04-17 15:02:07.507,2022-04-17 15:02:07.507
625c2db3f0a5bc6c426c0c2c,The Lady Vanishes,1938,96 min,"Mystery, Thriller",7.8,1.3009284401828047,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",98.0,Alfred Hitchcock,"['Margaret Lockwood', 'Michael Redgrave', 'Paul Lukas', 'May Whitty']",47400,2022-04-17 15:09:39.781,2022-04-17 15:09:39.781
625c2dd4f0a5bc6c426c0c90,Ex Machina,2014,108 min,"Drama, Sci-Fi, Thriller",7.7,1.7764413311231964,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,78.0,Alex Garland,"['Alicia Vikander', 'Domhnall Gleeson', 'Oscar Isaac', 'Sonoya Mizuno']",474141,2022-04-17 15:10:12.681,2022-04-17 15:10:12.681
625c2c58f0a5bc6c426c08be,Blade Runner,1982,117 min,"Action, Sci-Fi, Thriller",8.1,1.6114448575886897,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",84.0,Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos']",693827,2022-04-17 15:03:52.416,2022-04-17 15:03:52.416
625c2e29f0a5bc6c426c0df4,The Butterfly Effect,2004,113 min,"Drama, Sci-Fi, Thriller",7.6,3.6054422187657753,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",30.0,Eric Bress,"['J. Mackye Gruber', 'Ashton Kutcher', 'Amy Smart', 'Melora Walters']",451479,2022-04-17 15:11:37.772,2022-04-17 15:11:37.772
625c2d8df0a5bc6c426c0bb4,Gattaca,1997,106 min,"Drama, Sci-Fi, Thriller",7.8,2.311791246259214,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,64.0,Andrew Niccol,"['Ethan Hawke', 'Uma Thurman', 'Jude Law', 'Gore Vidal']",280845,2022-04-17 15:09:01.127,2022-04-17 15:09:01.127
625c2df0f0a5bc6c426c0d12,Spoorloos,1988,107 min,"Mystery, Thriller",7.7,4.356334989812678,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.",,George Sluizer,"['Bernard-Pierre Donnadieu', 'Gene Bervoets', 'Johanna ter Steege', 'Gwen Eckhaus']",33982,2022-04-17 15:10:40.655,2022-04-17 15:10:40.655
625c2ce2f0a5bc6c426c09e0,Sleuth,1972,138 min,"Mystery, Thriller",8.0,1.398047129831388,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",,Joseph L. Mankiewicz,"['Laurence Olivier', 'Michael Caine', 'Alec Cawthorne', 'John Matthews']",44748,2022-04-17 15:06:10.438,2022-04-17 15:06:10.438
